Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
ws,booking:complete,628,385,30000,23540.094319042888,86.56191825866699,30838.81664276123,78.05573248407643,7.023935716731499,4.30607524035291,30000,30000,30000,30000,30000,30000,30000,30000,31000,31000,31000
ws,booking:ttft,243,0,16000,13231.00608660851,2.254009246826172,29802.91199684143,201.72427983539094,2.71786047637859,0.0,16000,20000,20000,21000,23000,24000,26000,26000,30000,30000,30000
ws,connect,1000,0,2400,2370.0418553352356,2045.5982685089111,3154.552936553955,0.0,11.18461101390366,0.0,2400,2400,2500,2500,2500,2700,2800,3100,3200,3200,3200
ws,faq:complete,942,607,30000,24613.564764365015,607.8164577484131,30879.544734954834,59.39171974522293,10.53590357509725,6.789058885439522,30000,30000,30000,30000,30000,30000,30000,31000,31000,31000,31000
ws,faq:ttft,335,0,18000,14457.17349621787,316.2229061126709,29700.682878494263,167.00597014925373,3.7468446896577263,0.0,18000,19000,20000,20000,23000,24000,26000,28000,30000,30000,30000
,Aggregated,3148,992,18000,15374.042787803324,2.254009246826172,30879.544734954834,66.6874205844981,35.209155471768725,11.095134125792432,18000,24000,30000,30000,30000,30000,30000,30000,31000,31000,31000
