Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
ws,booking:complete,109,0,1500,1400.9782808636307,194.76318359375,3419.790029525757,194.92660550458714,4.990684187765924,0.0,1500,1700,1800,1900,2300,2600,2900,3000,3400,3400,3400
ws,booking:ttft,109,0,1500,1395.5514321633434,190.71078300476074,3419.025659561157,194.92660550458714,4.990684187765924,0.0,1500,1700,1800,1900,2300,2600,2800,3000,3400,3400,3400
ws,connect,25,0,2167.0942306518555,2143.642292022705,2037.750005722046,2167.0942306518555,0.0,1.1446523366435604,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
ws,faq:complete,131,0,730,915.1258687026628,109.21287536621094,3182.1959018707275,164.41221374045801,5.997978244012256,0.0,730,970,1200,1300,2100,2900,3100,3200,3200,3200,3200
ws,faq:ttft,131,0,560,732.4442626865765,56.76007270812988,3008.8090896606445,164.41221374045801,5.997978244012256,0.0,560,860,960,1100,1800,2700,2900,3000,3000,3000,3000
,Aggregated,505,0,990,1137.1177885792042,56.76007270812988,3419.790029525757,169.44554455445544,23.12197720019992,0.0,990,1500,1700,1800,2200,2600,3000,3000,3400,3400,3400
