Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
ws,booking:complete,54,0,6800,7794.02075431965,1060.1606369018555,18053.597450256348,205.05555555555554,2.3258126322574255,0.0,7800,9400,10000,12000,15000,16000,18000,18000,18000,18000,18000
ws,booking:ttft,54,0,6800,7782.806025611029,1041.6316986083984,18046.55957221985,205.05555555555554,2.3258126322574255,0.0,7800,9300,10000,12000,15000,16000,18000,18000,18000,18000,18000
ws,connect,100,0,2900,3146.2188243865967,2095.2610969543457,4192.3277378082275,0.0,4.307060430106343,0.0,3000,3900,4000,4100,4100,4200,4200,4200,4200,4200,4200
ws,faq:complete,103,0,6600,7644.273977835202,1162.3361110687256,20263.295650482178,173.2233009708738,4.436272243009533,0.0,6600,7900,9800,11000,15000,17000,19000,19000,20000,20000,20000
ws,faq:ttft,103,0,6600,7328.457938814626,801.7251491546631,19906.386852264404,173.2233009708738,4.436272243009533,0.0,6600,7400,9400,11000,15000,17000,19000,19000,20000,20000,20000
,Aggregated,414,0,5100,6516.816222149393,801.7251491546631,20263.295650482178,139.68599033816426,17.83123018064026,0.0,5100,7200,8200,9700,13000,16000,18000,19000,20000,20000,20000
