Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
ws,booking:complete,10,10,30000.893592834473,30004.893398284912,30000.893592834473,30011.18564605713,0.0,0.28127821422068816,0.28127821422068816,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
ws,connect,20,0,2300,2377.898931503296,2089.7531509399414,2654.4508934020996,0.0,0.5625564284413763,0.0,2500,2500,2600,2600,2700,2700,2700,2700,2700,2700,2700
ws,faq:complete,10,2,28000,28346.109318733215,27643.959045410156,30001.42550468445,126.4,0.28127821422068816,0.05625564284413763,28000,28000,28000,30000,30000,30000,30000,30000,30000,30000,30000
ws,faq:ttft,8,0,26000,25833.069264888763,25489.957094192505,26496.71483039856,158.0,0.22502257137655052,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
,Aggregated,48,12,26000,17452.76166498661,2089.7531509399414,30011.18564605713,52.666666666666664,1.350135428259303,0.33753385706482575,26000,28000,30000,30000,30000,30000,30000,30000,30000,30000,30000
