Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
ws,booking:complete,83,0,3000,3390.057196100074,1173.842191696167,9155.641317367554,198.56626506024097,3.701698351176034,0.0,3000,4000,4500,4700,5900,6400,7400,9200,9200,9200,9200
ws,booking:ttft,83,0,3000,3384.1565488332726,1159.757137298584,9150.274991989136,198.56626506024097,3.701698351176034,0.0,3000,4000,4500,4700,5900,6400,7400,9200,9200,9200,9200
ws,connect,50,0,2300,2451.984643936157,2064.699649810791,3006.6843032836914,0.0,2.2299387657686953,0.0,2300,2500,2500,2900,2900,3000,3000,3000,3000,3000,3000
ws,faq:complete,128,0,2600,3108.456961810589,584.801197052002,10847.130298614502,170.25,5.70864324036786,0.0,2600,3300,3500,3700,6000,8000,8400,9000,11000,11000,11000
ws,faq:ttft,128,0,2400,2928.0789606273174,468.95742416381836,10837.382555007935,170.25,5.70864324036786,0.0,2400,3100,3400,3700,5900,7900,8400,8800,11000,11000,11000
,Aggregated,472,0,2600,3087.999091310016,468.95742416381836,10847.130298614502,162.17372881355934,21.050621948856485,0.0,2600,3300,3700,4300,5400,7100,8100,9000,11000,11000,11000
